Year,Area,Estimated total discard (mt),CV of total discard,Estimated dead discard (mt),Estimated mortality fraction,Estimated landings (mt),Estimated dead discard Landings (mt),Ratio of dead discard total dead
2003,N of $40^\prime 10^\prime$,0.54,-,0.25,47\%,10.62,10.87,2\%
2004,N of $40^\prime 10^\prime$,0.54,-,0.24,45\%,7.28,7.52,3\%
2005,N of $40^\prime 10^\prime$,0.38,-,0.17,45\%,4.56,4.73,4\%
2006,N of $40^\prime 10^\prime$,0.47,-,0.21,44\%,5.62,5.83,4\%
2007,N of $40^\prime 10^\prime$,0.2,-,0.08,43\%,7.99,8.08,1\%
2008,N of $40^\prime 10^\prime$,1.02,-,0.42,41\%,9.4,9.81,4\%
2009,N of $40^\prime 10^\prime$,0.7,-,0.29,41\%,8.53,8.82,3\%
2010,N of $40^\prime 10^\prime$,0.34,-,0.13,38\%,5.15,5.28,2\%
2011,N of $40^\prime 10^\prime$,0.28,-,0.12,44\%,8.42,8.54,1\%
2012,N of $40^\prime 10^\prime$,0.61,-,0.23,38\%,9.15,9.39,2\%
2013,N of $40^\prime 10^\prime$,0.26,-,0.12,45\%,7.2,7.32,2\%
,,,,,,,,
2004,S of $40^\prime 10^\prime$,0.61,51\%,0.35,57\%,1.96,2.31,15\%
2005,S of $40^\prime 10^\prime$,1.4,51\%,0.65,46\%,2.35,3,22\%
2006,S of $40^\prime 10^\prime$,0.87,48\%,0.48,55\%,2.02,2.5,19\%
2007,S of $40^\prime 10^\prime$,1.06,19\%,0.61,57\%,2.2,2.81,22\%
2008,S of $40^\prime 10^\prime$,1.35,77\%,0.81,60\%,2.28,3.09,26\%
2009,S of $40^\prime 10^\prime$,1.77,64\%,0.96,54\%,1.97,2.92,33\%
2010,S of $40^\prime 10^\prime$,2.68,69\%,1.68,63\%,1.8,3.49,48\%
2011,S of $40^\prime 10^\prime$,2.92,45\%,1.38,47\%,1.55,2.93,47\%
2012,S of $40^\prime 10^\prime$,2.73,82\%,1.81,66\%,1.44,3.25,56\%
2013,S of $40^\prime 10^\prime$,1.61,53\%,1.28,79\%,1.2,2.47,52\%
