Year,Charter North,Charter South,Private North,Private South,Total North,Total South,OR Total,Source
1973,0.44,0.16,0.07,0.19,0.51,0.34,0.86,ODFW Reconstruction
1974,0.75,0.27,0.13,0.32,0.88,0.59,1.47,ODFW Reconstruction
1975,0.37,0.13,0.06,0.16,0.43,0.29,0.72,ODFW Reconstruction
1976,1.08,0.38,0.27,0.47,1.35,0.85,2.2,ODFW Reconstruction
1977,1.15,0.41,0.29,0.49,1.44,0.9,2.34,ODFW Reconstruction
1978,1.5,0.53,0.25,0.64,1.75,1.18,2.93,ODFW Reconstruction
1979,1.52,2.94,0.98,1.53,2.51,4.47,6.98,ODFW Reconstruction
1980,1.63,0.91,0.9,0.53,2.54,1.44,3.98,ODFW Reconstruction
1981,2.18,1.56,0.97,0.89,3.15,2.45,5.6,ODFW Reconstruction
1982,2.14,1.42,0.95,0.82,3.09,2.24,5.33,ODFW Reconstruction
1983,2.69,1.36,1.2,0.81,3.89,2.17,6.07,ODFW Reconstruction
1984,2.71,1.43,1.21,0.48,3.92,1.9,5.82,ODFW Reconstruction
1985,1.38,1.04,0.62,0.59,2,1.63,3.62,ODFW Reconstruction
1986,1.58,0.99,0.7,0.57,2.28,1.56,3.84,ODFW Reconstruction
1987,1.03,1.29,0.46,0.69,1.49,1.99,3.48,ODFW Reconstruction
1988,1.44,0.38,0.29,0.45,1.73,0.82,2.55,ODFW Reconstruction
1989,2.21,1.04,0.31,1.57,2.52,2.61,5.13,ODFW Reconstruction
1990,2.19,1.29,0.49,1.81,2.68,3.1,5.78,ODFW Reconstruction
1991,1.44,0.52,0.31,0.68,1.75,1.19,2.94,ODFW Reconstruction
1992,2.41,0.76,0.65,0.88,3.06,1.64,4.7,ODFW Reconstruction
1993,3.03,0.9,0.99,1.12,4.02,2.02,6.04,ODFW Reconstruction
1994,2.13,0.97,0.73,1.21,2.86,2.19,5.05,ODFW Reconstruction
1995,1.09,0.68,0.51,0.94,1.6,1.62,3.22,ODFW Reconstruction
1996,1.74,0.84,0.26,0.71,2,1.55,3.55,ODFW Reconstruction
1997,2.04,1.08,0.47,1,2.51,2.09,4.6,ODFW Reconstruction
1998,1.56,0.79,0.47,0.76,2.03,1.55,3.58,ODFW Reconstruction
1999,2.11,1.78,0.45,1.26,2.56,3.04,5.6,ODFW Reconstruction
2000,1.71,0.85,0.39,0.59,2.1,1.45,3.54,ODFW Reconstruction
2001,1.41,0.32,1.41,0.36,2.83,0.69,3.51,RecFIN
2002,1.4,0.32,1.4,0.38,2.79,0.7,3.49,RecFIN
2003,1.12,0.26,1.12,0.32,2.23,0.58,2.81,RecFIN
2004,0.99,0.23,0.99,0.4,1.98,0.62,2.6,RecFIN
2005,0.77,0.26,0.77,0.51,1.53,0.77,2.31,RecFIN
2006,1.11,0.35,1.11,0.5,2.22,0.85,3.07,RecFIN
2007,1.4,0.38,1.4,0.48,2.79,0.87,3.66,RecFIN
2008,1.25,0.26,1.25,0.45,2.5,0.72,3.22,RecFIN
2009,0.95,0.12,0.95,0.49,1.89,0.6,2.5,RecFIN
2010,1.02,0.2,1.02,0.61,2.05,0.8,2.85,RecFIN
2011,1.56,0.31,1.56,0.6,3.12,0.91,4.02,RecFIN
2012,1.68,0.37,1.68,0.41,3.36,0.78,4.14,RecFIN
2013,1.48,0.25,1.48,0.64,2.96,0.89,3.85,RecFIN
2014,0.51,0.18,0.51,0.48,1.01,0.66,1.67,RecFIN
