Region,SouthernWAPC,SouthernWAPR,NorthernWAPC,NorthernWAPR,Total
1967,0,0,0.267,1.038,1.305
1968,0.019,0,0.32,1.246,1.585
1969,0.038,0.001,0.374,1.454,1.867
1970,0.057,0.001,0.427,1.662,2.147
1971,0.075,0.001,0.481,1.869,2.426
1972,0.094,0.001,0.534,2.077,2.706
1973,0.113,0.002,0.588,2.285,2.988
1974,0.132,0.002,0.641,2.493,3.268
1975,0.151,0.002,0.695,2.701,3.549
1976,0.019,0,0.381,1.481,1.881
1977,0.014,0,0.287,1.116,1.417
1978,0.061,0.001,0.777,3.021,3.86
1979,0.006,0,0.617,2.397,3.02
1980,0.023,0,0.526,2.043,2.592
1981,0.061,0.001,0.472,1.834,2.368
1982,0.049,0.001,0.56,2.177,2.787
1983,0.002,0,0.622,2.416,3.04
1984,0.109,0.002,0.673,2.617,3.401
1985,0.059,0.001,0.68,2.642,3.382
1986,0.157,0.002,0.777,3.021,3.957
1987,0.193,0.005,1.03,3.735,4.963
1988,0.228,0.008,1.284,4.449,5.969
1989,0.264,0.011,1.537,5.163,6.975
1990,0.299,0.014,1.79,5.876,7.979
1991,0.231,0,0.507,3.576,4.314
1992,0.349,0.006,1.464,5.812,7.631
1993,0.321,0,1.131,5.084,6.536
1994,0.313,0.002,1.177,3.243,4.735
1995,0.095,0.007,0.6,3.432,4.134
1996,0.115,0.009,0.447,2.29,2.861
1997,0.184,0.001,0.402,2.128,2.715
1998,0.187,0.073,0.078,1.647,1.985
1999,0.061,0.002,0.09,2.35,2.503
2000,0.104,0,0.406,2.506,3.016
2001,0.248,0,0.249,3.133,3.63
2002,0.095,0,0.233,2.174,2.502
2003,0.084,0.008,0.12,2.182,2.394
2004,0.075,0.045,0.136,1.972,2.228
2005,0.028,0.006,0.193,2.458,2.685
2006,0.023,0.003,0.08,2.204,2.31
2007,0.066,0,0.145,2.729,2.94
2008,0.158,0.008,0.314,2.683,3.163
2009,0.068,0.003,0.17,2.548,2.789
2010,0.15,0.036,0.134,3.362,3.682
2011,0.066,0.005,0.165,3.022,3.258
2012,0.069,0.006,0.255,2.63,2.96
2013,0.048,0.017,0.269,3.055,3.389
2014,0.027,0.016,0.302,2.683,3.028
