Label,R07400,R07800,R08200,R08600,R09000,h0410,h0570,h0710,h0870,h0990,M0220,M0260,M0300,M0350,M0400
Female M,0.257,0.257,0.257,0.257,0.257,0.257,0.257,0.257,0.257,0.257,0.22,0.26,0.3,0.35,0.4
Steepness,0.718,0.718,0.718,0.718,0.718,0.41,0.57,0.71,0.87,0.99,0.718,0.718,0.718,0.718,0.718
lnR0,7.4,7.8,8.2,8.6,9,8.338,8.214,8.162,8.128,8.111,7.667,8.203,8.953,12.212,30.997
Total biomass (m),1623.19,2113.03,2894.72,4173.95,6142.97,3313.42,2943.85,2802.69,2712.12,2667.97,2259.39,2861.79,4632.81,89473.5,9.75357E+12
Depletion (\%),46.831,49.826,58.309,66.226,71.796,51.201,55.271,57.32,58.815,59.604,47.72,58.145,68.077,79.267,79.739
SPR ratio,1.055,0.912,0.696,0.49,0.335,0.683,0.709,0.718,0.724,0.727,0.967,0.699,0.41,0.021,0
Female Lmin,12.157,12.407,12.432,12.391,12.363,12.428,12.438,12.434,12.429,12.426,12.39,12.435,12.429,12.387,12.244
Female Lmax,34.293,33.825,33.255,32.756,32.423,33.193,33.281,33.311,33.328,33.337,33.235,33.315,33.312,33.252,33.726
Female K,0.24,0.246,0.251,0.258,0.265,0.251,0.25,0.25,0.25,0.25,0.254,0.25,0.248,0.248,0.238
Male Lmin (offset),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Male Lmax (offset),-0.182,-0.168,-0.158,-0.151,-0.147,-0.157,-0.158,-0.159,-0.159,-0.159,-0.162,-0.159,-0.154,-0.148,-0.15
Male K (offset),-0.222,-0.312,-0.29,-0.244,-0.212,-0.271,-0.288,-0.294,-0.298,-0.3,-0.268,-0.296,-0.31,-0.318,-0.356
Negative log-likelihood,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TOTAL,1117.15,1101.02,1097.33,1099.69,1102.95,1101.35,1098.58,1097.35,1096.72,1100.21,1102.66,1096.96,1092.96,1089.92,1091.52
Catch,0.001,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0
Equil\_catch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Survey,-100.099,-99.197,-97.993,-96.997,-96.366,-98.27,-98.178,-98.119,-98.064,-98.029,-97.789,-98.136,-98.334,-98.325,-98.95
Length\_comp,761.18,760.122,763.44,767.607,770.757,765.106,763.691,763.046,762.577,762.328,765.5,762.849,760.875,759.19,755.257
Age\_comp,437.322,427.367,421.087,418.575,417.981,420.581,421.244,421.506,421.68,421.766,422.968,421.413,420.048,418.753,425.158
Recruitment,18.738,12.72,10.796,10.5,10.577,12.547,11.402,10.901,10.556,10.381,11.906,10.825,10.301,10.049,9.543
Forecast\_Recruitment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Parm\_priors,0,0,0,0,0,1.38,0.42,0.014,-0.036,3.761,0.063,0,0.062,0.247,0.508
Parm\_softbounds,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005
Parm\_devs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crash\_Pen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
